id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
003vvx7Niy0yvhvHt4a68B,86,0.352,0.911,1,-5.23,1,0.0747,0.00121,0,0.0995,0.236,148.033,222973,4
5SkRLpaGtvYPhw02vZhQQ9,82,0.657,0.734,8,-4.832,0,0.484,0.149,0,0.139,0.434,91.03,223507,4
5rb9QrpfcKFHM1EUbSIurX,83,0.894,0.791,2,-4.699,1,0.112,0.0183,0,0.0388,0.583,105.018,250373,4
561jH07mF1jHuk7KlaeF0s,88,0.637,0.678,0,-3.798,1,0.266,0.209,0,0.156,0.254,84.039,250760,4
0ll8uFnc0nANY35E0Lfxvg,77,0.453,0.655,9,-4.22,1,0.0259,0.0794,7.61e-06,0.0849,0.368,172.012,236160,4
5KUNwkaNf8l5A9sXZhiCgI,79,0.728,0.832,7,-6.827,1,0.267,0.327,0,0.504,0.825,95.051,172893,4
2lwwrWVKdf3LR9lbbhnr6R,76,0.649,0.888,6,-4.807,1,0.0293,0.013,2.23e-06,0.0888,0.553,100.975,208467,4
6PwjJ58I4t7Mae9xfZ9l9v,80,0.497,0.97,10,-4.851,0,0.0836,9.04e-05,0.000674,0.101,0.689,138.081,197200,4
6nTiIhLmQ3FWhvrGafw2zj,82,0.38,0.988,1,-2.042,1,0.0639,2.64e-05,7.86e-05,0.368,0.769,186.113,176346,4
61mWefnWQOLf90gepjOCb3,80,0.354,0.982,4,-3.026,0,0.168,0.000237,0.000294,0.204,0.194,143.772,252613,4
3xrn9i8zhNZsTtcoWgQEAd,74,0.662,0.741,0,-5.406,1,0.0334,0.00165,0.0303,0.114,0.404,131.0,188960,4
228BxWXUYQPJrJYHDLOHkj,85,0.852,0.797,0,-6.543,1,0.0614,0.322,2.69e-06,0.0845,0.741,96.008,192600,4
68vgtRHr7iZHpzGpon6Jlo,80,0.662,0.507,5,-8.238,1,0.118,0.257,0,0.0465,0.676,86.412,223440,4
