id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
6GG73Jik4jUlQCkKg9JuGO,83,0.643,0.849,2,-5.428,1,0.0526,0.0371,0,0.058,0.903,162.152,165853,4
2DlHlPMa4M17kufBvI2lEN,85,0.417,0.934,7,-3.908,0,0.119,0.000278,0.0015,0.132,0.287,127.066,210240,4
2MLHyLy5z5l5YRp7momlgw,80,0.654,0.81,4,-6.26,0,0.0288,0.00719,0.00251,0.165,0.661,114.623,200307,4
5W8YXBz9MTIDyrpYaCg2Ky,82,0.589,0.89,4,-3.719,0,0.0603,0.000481,0.00082,0.201,0.692,90.598,199907,4
2hKdd3qO7cWr2Jo0Bcs0MA,80,0.481,0.638,0,-5.862,1,0.0276,0.153,0,0.154,0.497,79.064,259933,4
0gmbgwZ8iqyMPmXefof8Yf,82,0.446,0.764,10,-5.042,1,0.033,0.00135,0,0.099,0.543,172.094,223840,4
0snQkGI5qnAmohLE7jTsTn,82,0.413,0.873,8,-4.151,1,0.0536,0.000264,0.00249,0.204,0.48,116.68,218933,3
7CpbhqKUedOIrcvc94p60Y,77,0.656,0.932,4,-3.405,0,0.0708,0.00347,0.00147,0.144,0.544,130.936,201960,4
4e9eGQYsOiBcftrWXwsVco,79,0.364,0.922,0,-4.217,0,0.0567,0.000915,0.0346,0.0697,0.227,79.342,235053,4
7yMiX7n9SBvadzox8T5jzT,71,0.663,0.694,10,-8.627,0,0.171,0.0253,0,0.0698,0.525,167.953,340920,4
6b37xrsNCWYIUphFBazqD6,84,0.657,0.741,11,-6.822,0,0.0825,0.663,0.494,0.222,0.908,175.949,239987,4
1HNE2PX70ztbEl6MLxrpNL,76,0.568,0.844,9,-5.875,1,0.0505,0.000189,0,0.0607,0.766,116.046,207093,4
25CMmGsl22APKhfuj4Tp7j,69,0.509,0.774,6,-4.054,1,0.0338,0.00189,0.000549,0.143,0.0824,116.529,264707,4
4KacUpvbA3Mfo05gttTjhN,75,0.402,0.914,9,-5.215,1,0.142,0.000579,0,0.065,0.626,196.505,178267,4
1fJFuvU2ldmeAm5nFIHcPP,76,0.579,0.928,0,-4.344,1,0.0411,0.000715,0,0.18,0.882,95.594,171533,4
