id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
7D0RhFcb3CrfPuTJ0obrod,86,0.371,0.268,1,-10.506,1,0.0281,0.748,0.0517,0.104,0.165,102.617,227093,3
3AJwUDP919kvQ9QcozQPxg,90,0.429,0.661,11,-7.227,1,0.0281,0.00239,0.000121,0.234,0.285,173.372,266773,4
3yfqSUWxFvZELEM4PmlwIR,87,0.949,0.661,5,-4.244,0,0.0572,0.0302,0,0.0454,0.76,104.504,284200,4
6ZOBP3NvffbU4SZcrnt1k6,81,0.545,0.865,11,-5.708,0,0.0286,0.00664,1.1e-05,0.168,0.543,99.009,233933,4
0I3q5fE6wg7LIfHGngUTnV,82,0.843,0.806,4,-5.946,0,0.269,0.143,0,0.0771,0.613,94.948,270507,4
60a0Rd6pjrkxjPbaKzXjfq,87,0.556,0.864,3,-5.87,0,0.0584,0.00958,0,0.209,0.4,105.143,216880,4
51c94ac31swyDQj9B3Lzs3,79,0.269,0.853,7,-4.647,0,0.0854,0.000249,0.000246,0.118,0.179,141.581,299533,4
3K4HG9evC7dg3N0R9cYqk4,81,0.492,0.969,9,-4.419,1,0.0491,0.0014,1.32e-06,0.0787,0.538,95.136,157333,4
3oW6SWwGqiZSPTiAp7ZQoH,74,0.595,0.653,7,-4.935,1,0.0265,0.246,0,0.264,0.542,128.93,241533,4
3UmaczJpikHgJFyBTAJVoz,82,0.78,0.768,6,-4.325,0,0.238,0.0371,2.34e-06,0.518,0.507,80.063,404107,4
3Gf5nttwcX9aaSQXRWidEZ,77,0.85,0.7,7,-6.49,1,0.0478,0.0616,1.8e-06,0.244,0.722,101.875,291782,4
3WkibOpDF7cQ5xntM1epyf,80,0.853,0.606,0,-4.596,1,0.0713,0.0561,0,0.313,0.654,94.759,227600,4
62bOmKYxYg7dhrC6gH9vFn,74,0.61,0.926,8,-4.843,0,0.0479,0.031,0.0012,0.0821,0.861,172.638,200400,4
40rvBMQizxkIqnjPdEWY1v,77,0.695,0.876,3,-4.262,0,0.0553,0.000996,6.89e-06,0.106,0.941,89.954,279213,4
6glsMWIMIxQ4BedzLqGVi4,74,0.725,0.64,5,-7.905,0,0.332,0.0281,0,0.099,0.915,166.028,240027,3
