id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
3JA9Jsuxr4xgHXEawAdCp4,79,0.659,0.628,0,-8.685,0,0.179,0.186,0,0.105,0.262,94.05,219427,4
6hkOqJ5mE093AQf2lbZnsG,73,0.691,0.795,1,-4.021,0,0.0355,0.000812,1.02e-06,0.156,0.876,133.971,227333,4
7Ie9W94M7OjPoZVV216Xus,80,0.855,0.954,0,-1.19,0,0.264,0.529,0,0.205,0.668,114.635,248133,5
5MMLS3xm12D7N26xlfFApr,73,0.658,0.762,10,-3.028,0,0.0425,0.263,0,0.127,0.823,163.864,148448,4
4DvhkX2ic4zWkQeWMwQ2qf,70,0.435,0.837,3,-8.126,1,0.449,0.00676,0,0.117,0.778,124.913,216893,4
1ExfPZEiahqhLyajhybFeS,75,0.794,0.711,8,-5.124,0,0.0699,0.3,0,0.0955,0.955,174.915,189109,4
1DqdF42leyFIzqNDv9CjId,71,0.754,0.804,4,-3.177,1,0.0853,0.00332,0,0.0329,0.818,119.968,203867,4
7cAFB83sEKAmwekVvQtGZj,75,0.801,0.57,9,-5.103,0,0.265,0.559,0,0.111,0.565,92.058,164632,4
4r6eNCsrZnQWJzzvFh4nlg,72,0.638,0.832,8,-5.039,1,0.049,0.141,0,0.113,0.648,124.071,227893,4
6lV2MSQmRIkycDScNtrBXO,77,0.66,0.867,6,-4.285,0,0.116,0.11,0,0.0368,0.377,93.033,180480,4
1foMv2HQwfQ2vntFf9HFeG,78,0.676,0.703,8,-5.815,0,0.0302,0.0869,0.000687,0.0463,0.852,92.761,200173,4
3U8dHeggJ8IBe0UCb1gbyB,71,0.667,0.381,3,-7.494,1,0.0294,0.455,0,0.116,0.199,135.975,273893,4
11EX5yhxr9Ihl3IN1asrfK,71,0.587,0.622,4,-5.535,1,0.0303,0.0927,0.000636,0.2,0.231,107.943,277573,4
0x3TibRgnSqzkcwrqBd4iX,75,0.7,0.598,2,-7.783,1,0.114,0.0369,0,0.111,0.594,160.041,228453,4
0u4N6w5lBw5xMrzJitRWUo,75,0.704,0.83,11,-3.139,1,0.0297,0.0489,0,0.111,0.957,127.103,211453,4
5YJtMNWKe55yr49cyJgxva,73,0.633,0.976,8,-5.362,1,0.0519,0.00281,1.29e-05,0.382,0.493,142.027,197124,4
46wojTgyEs6lbgaWB6yIuz,72,0.682,0.934,4,-2.527,0,0.152,0.107,0,0.749,0.483,109.027,197929,4
1bM50INir8voAkVoKuvEUI,74,0.781,0.745,4,-5.81,0,0.0332,0.198,1.14e-05,0.36,0.326,129.998,269493,4
7l1qvxWjxcKpB9PCtBuTbU,75,0.589,0.389,0,-5.972,1,0.028,0.851,0,0.0772,0.501,89.1,197470,4
1kMuU3TNQvHbqvXCWBodmP,70,0.376,0.841,3,-4.348,0,0.356,0.0435,0,0.578,0.463,76.052,271947,4
0G7pjeHX2TDqw6mx14puWg,69,0.698,0.584,5,-5.067,1,0.0279,0.0511,0,0.295,0.618,115.08,300680,4
6ebkx7Q5tTxrCxKq4GYj0Y,79,0.616,0.869,0,-3.911,1,0.0327,0.0283,0,0.064,0.473,127.966,234560,4
4BycRneKmOs6MhYG9THsuX,69,0.627,0.614,6,-6.006,0,0.17,0.0211,0,0.0286,0.758,96.038,208947,4
393MDhe62s8hbH8ETrlxe5,74,0.671,0.726,7,-8.689,1,0.0272,0.389,0.882,0.14,0.581,102.002,294227,4
5W7xC99N2Zzfh69r7I7zWK,71,0.57,0.58,1,-5.547,1,0.21,0.0124,0,0.0498,0.404,171.812,270627,4
3ZdJffjzJWFimSQyxgGIxN,76,0.531,0.752,1,-6.161,1,0.0305,0.0421,0,0.12,0.103,89.917,237800,4
0q6LuUqGLUiCPP1cbdwFs3,78,0.689,0.739,2,-5.81,1,0.026,1.51e-05,0.509,0.064,0.578,120.423,233867,4
67T6l4q3zVjC5nZZPXByU8,67,0.615,0.711,11,-5.507,1,0.0779,0.0444,0,0.145,0.711,144.036,221253,4
1ia019RqDK2o4QiANR1Dyn,72,0.475,0.882,11,-3.883,1,0.351,0.406,0,0.241,0.369,98.001,279307,4
6XkuklKiHYVTlVvWlTgQYP,71,0.687,0.631,9,-5.612,1,0.129,0.063,0,0.108,0.853,186.071,192253,4
45sDIKapDyxPl307QpEAwl,68,0.664,0.845,4,-6.115,0,0.0461,0.181,0,0.267,0.357,96.005,211253,4
1Ty1beNcNEbOXbO9fJNIXu,72,0.701,0.524,7,-7.14,1,0.0389,0.85,0.0257,0.16,0.649,110.097,157875,4
3WGsYiBXmaT8XyY4Fmry2v,70,0.762,0.387,10,-8.643,0,0.0277,0.239,0.00756,0.13,0.274,109.959,239147,4
2p07VcUwRZ5sru3mJ0JogS,70,0.677,0.776,5,-5.933,1,0.0386,0.42,0.000689,0.0954,0.642,121.834,192800,4
560GL9Y8gDtKPRIJ41oA3c,67,0.844,0.757,1,-4.61,0,0.0523,0.0945,0,0.16,0.532,94.977,220133,4
2gE58DQyqgsvsK87SWUN62,68,0.603,0.341,4,-8.892,1,0.0264,0.921,0.00314,0.102,0.365,113.452,229880,4
4u26EevCNXMhlvE1xFBJwX,68,0.606,0.497,4,-6.611,1,0.0277,0.348,0,0.275,0.362,130.739,222773,4
0SwxuVBPfjqR2kCnpDDnqp,71,0.66,0.845,11,-4.57,1,0.301,0.154,0,0.294,0.706,89.769,157540,4
3LUWWox8YYykohBbHUrrxd,72,0.736,0.817,8,-4.9,1,0.0407,0.00987,0.00167,0.117,0.653,119.95,204760,4
0bePGTDjn0XuEKoN7rOMvV,69,0.454,0.873,2,-5.072,1,0.122,0.000244,1.73e-05,0.0847,0.562,159.814,167773,4
6vc2Jq2vaGu8z326kSrw92,71,0.826,0.612,1,-3.891,1,0.0982,0.00681,0,0.0889,0.756,120.057,187133,4
2LZ2CNbcbJrwh53pitRgom,68,0.356,0.67,2,-5.825,1,0.0324,0.467,0.000106,0.288,0.117,135.032,298680,4
4o4wEDRqotccDTXiQ7TORu,70,0.531,0.603,7,-6.242,1,0.0944,0.728,0,0.11,0.228,86.162,282027,4
2CEgGE6aESpnmtfiZwYlbV,78,0.751,0.783,4,-3.724,1,0.0859,0.00379,0,0.036,0.816,119.975,202613,4
0grFc6klR3hxoHLcgCYsF4,68,0.705,0.735,11,-6.646,1,0.0931,0.028,0.0783,0.112,0.448,132.627,191800,4
4UEo1b0wWrtHMC8bVqPiH8,72,0.554,0.949,2,-4.928,1,0.0787,0.000318,9.98e-05,0.2,0.233,129.984,374453,4
1ZHYJ2Wwgxes4m8Ba88PeK,72,0.628,0.692,2,-5.64,1,0.202,0.00244,0.0129,0.668,0.0963,124.887,378893,5
6DkXLzBQT7cwXmTyzAB1DJ,73,0.689,0.784,2,-2.972,1,0.074,0.182,0,0.0843,0.561,99.954,263173,4
5omWAB5iNMHvbAfBSzkdu8,67,0.488,0.842,6,-5.926,1,0.0469,0.0116,0.00127,0.146,0.41,90.003,187347,4
4ycLiPVzE5KamivXrAzGFG,67,0.69,0.834,0,-5.79,1,0.0566,0.129,0,0.136,0.738,127.43,222933,4
2G8PweZBBwTpyP8vpNQJK2,69,0.531,0.984,3,-3.767,0,0.0652,0.0017,1.13e-05,0.361,0.386,107.036,268480,4
75L0qdzRnhwV62UXoNq3pE,67,0.606,0.811,7,-4.667,1,0.278,0.00782,1.49e-05,0.349,0.276,156.347,234333,4
03xWMkKEbeO4SnylA53ipj,71,0.673,0.42,4,-7.581,1,0.0317,0.112,0,0.0897,0.385,108.066,152333,4
4sNwdacKyi2S26WrRtNama,72,0.77,0.896,0,-3.971,1,0.039,0.0539,0,0.243,0.964,126.999,182587,4
1CdqVF1ywD0ZO1zXtB9yWa,68,0.666,0.899,8,-4.676,1,0.028,0.00155,0,0.0677,0.629,122.05,186267,4
0U0ldCRmgCqhVvD6ksG63j,75,0.532,0.874,9,-5.183,0,0.0482,0.00842,0.012,0.452,0.361,91.038,258413,4
79gkHjNTSyGPXEyGkNQ8zH,73,0.821,0.819,1,-3.627,1,0.0272,0.0104,5.49e-05,0.145,0.893,126.03,200347,4
4GRFzKI7jTZ3kbMfouc7bn,73,0.6,0.939,7,-1.794,1,0.19,0.0666,6.18e-06,0.34,0.833,159.941,186840,4
6d67Xv8ms2noA8wWFLiPDN,71,0.386,0.826,11,-7.847,0,0.114,0.158,0.000489,0.101,0.376,187.094,228800,4
3bMNprrp2JDKZsGbiXpsJl,67,0.624,0.723,1,-6.782,1,0.378,0.172,0,0.483,0.757,84.789,216933,4
3Q8zopc4ABXhysDb1sgLVW,67,0.477,0.917,2,-3.399,1,0.0814,0.0139,0,0.0756,0.267,160.021,199013,4
07p0kLnvfQQ2bLujHyzSGK,74,0.73,0.867,7,-1.946,1,0.0325,0.0749,6.81e-06,0.0712,0.929,130.02,223200,4
215FCyLSBcXeX0NASXEjyn,67,0.41,0.9,0,-4.249,0,0.0656,0.0167,1.09e-05,0.339,0.558,176.962,284960,4
23SZWX2IaDnxmhFsSLvkG2,71,0.598,0.713,6,-3.625,0,0.0326,0.0207,0.000175,0.431,0.118,91.964,357653,4
6BaxqcoEM9r3LXisTyJjST,65,0.442,0.83,9,-4.02,1,0.146,0.128,0,0.129,0.578,89.338,215747,4
3DrjZArsPsoqbLzUZZV1Id,66,0.529,0.67,2,-4.663,1,0.0303,0.117,0,0.334,0.286,141.893,293027,4
6lKRMylSZMtA7EqPl0pcdI,70,0.669,0.712,0,-4.992,1,0.0412,0.303,0,0.0755,0.843,124.009,198960,4
4nVyHATevhl5RC6Qmoko5H,67,0.646,0.94,10,-2.856,0,0.0838,0.0209,0,0.0691,0.704,129.011,231787,4
11ozIUBoXAgRTVWelDn4pL,66,0.703,0.731,8,-6.283,0,0.0311,0.0721,0.00191,0.138,0.719,120.028,244267,4
7yNK27ZTpHew0c55VvIJgm,71,0.599,0.587,5,-5.919,1,0.0423,0.274,0,0.167,0.373,87.998,280787,4
