id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
5Q0Nhxo0l2bP3pNjpGJwV1,79,0.652,0.698,10,-4.667,0,0.042,0.00112,0.000115,0.0886,0.47,96.021,202067,4
1YLJVmuzeM2YSUkCCaTNUB,78,0.492,0.81,7,-5.315,1,0.0847,0.0416,0.00379,0.117,0.245,149.954,251840,4
3QLjDkgLh9AOEHlhQtDuhs,79,0.395,0.922,1,-2.176,1,0.375,0.19,0,0.134,0.558,162.361,257690,4
3Pzh926pXggbMe2ZpXyMV7,76,0.636,0.849,0,-7.075,1,0.106,0.0438,0,0.372,0.917,156.036,175493,4
4k7x3QKrc3h3U0Viqk0uop,78,0.329,0.277,10,-13.111,0,0.0302,0.971,0.024,0.0971,0.121,159.719,289560,3
2H1047e0oMSj10dgp7p2VG,76,0.744,0.766,0,-6.375,1,0.0265,0.0873,0,0.509,0.61,127.966,289133,4
5wfllwdjglyQislkskYLBv,74,0.881,0.441,11,-6.278,0,0.0646,0.48,9.08e-06,0.119,0.804,138.014,221240,4
1Bv3h7Vc4AaYA2BcSM3rVd,75,0.494,0.723,6,-4.559,0,0.0441,0.0192,0.0322,0.134,0.152,144.036,225787,4
2igwFfvr1OAGX9SKDCPBwO,83,0.491,0.956,11,-1.538,1,0.392,0.0295,0,0.46,0.811,173.585,276920,4
7LR85XLWw2yXqKBSI5brbG,80,0.632,0.924,1,-1.802,1,0.29,0.281,0,0.263,0.441,86.844,267520,4
0SiywuOBRcynK0uKGWdCnn,83,0.696,0.921,0,-3.755,1,0.0363,0.00314,5.24e-05,0.0842,0.714,119.001,294573,4
6cmm1LMvZdB5zsCwX5BjqE,79,0.727,0.68,2,-4.498,1,0.0286,0.0101,0,0.0821,0.728,132.012,212507,4
2UREu1Y8CO4jXkbvqAtP7g,79,0.64,0.957,8,-2.336,1,0.0741,0.0431,0,0.0789,0.692,134.992,178013,4
0PspNrE4MSjr1JeB4OW0jn,73,0.553,0.872,1,-2.832,0,0.0782,0.198,0,0.0659,0.638,172.138,220573,4
3DamFFqW32WihKkTVlwTYQ,79,0.512,0.662,3,-6.797,1,0.0439,0.0275,0,0.118,0.472,180.114,228347,4
5iSEsR6NKjlC9SrIJkyL3k,72,0.63,0.605,0,-8.951,1,0.0414,0.484,9.29e-05,0.298,0.266,115.277,295293,4
3Kj2EWpIBnvETsYq4cq0IH,76,0.6,0.186,3,-15.926,1,0.0317,0.909,0.00102,0.104,0.468,110.044,217467,4
5vlEg2fT4cFWAqU5QptIpQ,73,0.706,0.751,9,-6.323,1,0.0708,0.173,0,0.168,0.195,91.031,182307,4
4B4vB3oB8csotplfoQcAd6,71,0.52,0.496,5,-8.121,1,0.0271,0.0234,2.05e-05,0.0905,0.496,138.81,247002,4
6MtKObWYda2qnNIpJI21uD,71,0.63,0.605,0,-8.951,1,0.0414,0.484,9.29e-05,0.298,0.266,115.277,295293,4
5UsLjwBaTHBX4ektWIr4XX,75,0.457,0.906,5,-2.278,0,0.342,0.249,0,0.182,0.54,104.02,357707,5
3EUl8M6SzxZl03NPkB8mUd,72,0.698,0.632,9,-6.508,1,0.0247,0.554,0,0.118,0.458,102.408,263760,4
1Ug5wxoHthwxctyWTUMGta,73,0.59,0.829,0,-5.649,1,0.0419,0.0601,3.99e-05,0.19,0.704,144.099,193107,4
7rl7ao5pb9BhvAzPdWStxi,72,0.825,0.832,5,-5.853,0,0.0403,0.00587,0.000789,0.114,0.713,122.021,220627,4
524wvipGqxPKYWxkjf9y46,73,0.758,0.888,11,-4.899,0,0.0374,0.0999,0.0336,0.661,0.771,120.392,230484,4
