id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
3dPQuX8Gs42Y7b454ybpMR,85,0.743,0.446,4,-7.807,0,0.0683,0.0039,0.118,0.337,0.278,123.596,232107,4
2PpruBYCo4H7WOBJ7Q2EwM,83,0.727,0.974,4,-2.261,0,0.0664,0.103,0.000532,0.174,0.965,79.526,235213,4
2nLtzopw4rPReszdYBJU6h,86,0.496,0.863,9,-4.153,1,0.0381,0.0046,0,0.639,0.243,110.018,185587,4
4RY96Asd9IefaL3X4LOLZ8,76,0.902,0.72,6,-2.776,0,0.347,0.26,0,0.0749,0.805,90.059,193467,4
0COqiPhxzoWICwFCS4eZcp,84,0.331,0.943,4,-3.188,0,0.0698,0.00721,2.06e-06,0.242,0.296,94.612,235893,4
5IVuqXILoxVWvWEPm82Jxr,80,0.646,0.77,2,-6.596,0,0.226,0.00249,0,0.0715,0.681,99.165,236133,4
6I9VzXrHxO9rA9A5euc8Ak,83,0.774,0.838,5,-3.914,0,0.114,0.0249,0.025,0.242,0.924,143.04,198800,4
69Ej1xrGjOcHvIMtMKxK0G,83,0.817,0.714,4,-7.501,0,0.141,0.184,0.000132,0.042,0.714,94.001,204600,4
41bIQPBE1lFN0mmw6Lmssz,75,0.576,0.807,6,-3.908,0,0.317,0.353,0.000363,0.0512,0.908,90.012,224427,4
23oxJmDc1V9uLUSmN2LIvx,75,0.486,0.904,6,-3.751,0,0.0638,3.43e-05,2.83e-05,0.0947,0.786,173.734,198267,4
1oTo3ijRbaDAtrjJrGAPSw,72,0.664,0.781,11,-6.547,1,0.0339,0.00103,5.33e-06,0.0867,0.593,110.0,227240,4
2I9foKseoFQh07p6sD2voE,73,0.653,0.826,6,-2.93,0,0.354,0.0153,0.00146,0.131,0.416,108.52,256227,5
3XVBdLihbNbxUwZosxcGuJ,81,0.609,0.444,7,-9.129,1,0.106,0.603,6.86e-06,0.104,0.166,118.402,228707,3
0M955bMOoilikPXwKLYpoi,76,0.498,0.83,6,-5.157,0,0.0421,0.00461,0,0.139,0.453,89.342,231480,4
77loZpT5Y5PRP1S451P9Yz,82,0.472,0.671,4,-4.649,1,0.029,0.0129,0,0.159,0.0681,82.952,232800,4
4Yf5bqU3NK4kNOypcrLYwU,81,0.554,0.978,4,-3.554,1,0.131,0.111,0,0.0731,0.594,135.095,162600,4
27L8sESb3KR79asDUBu8nW,75,0.774,0.75,11,-4.927,0,0.0412,0.00207,1.78e-05,0.0808,0.927,118.015,197987,4
5YJ4BVvTFmVCxUyhKejHfR,82,0.815,0.856,1,-3.825,0,0.122,0.4,8.34e-05,0.244,0.872,91.995,151667,4
6Nq5lE0CeOAAAqN4qhkbZU,74,0.662,0.748,5,-3.041,0,0.268,0.688,8.43e-06,0.0841,0.535,82.331,239027,4
0r8iDf65NHgFgZOGLwj5r8,71,0.551,0.825,5,-6.24,0,0.044,0.152,6.2e-06,0.0999,0.933,164.857,260827,4
57Xjny5yNzAcsxnusKmAfA,77,0.489,0.649,9,-5.11,1,0.0336,0.000603,0.713,0.101,0.77,158.009,219827,4
1A5V1sxyCLpKJezp75tUXn,74,0.478,0.854,7,-5.454,1,0.0289,0.0204,1.21e-06,0.115,0.274,91.854,274160,4
305WCRhhS10XUcH6AEwZk6,77,0.613,0.953,2,-3.435,1,0.0855,0.00148,0.000582,0.152,0.537,105.046,213800,4
44NRdYQw7P0GWuiunRv3hr,69,0.217,0.92,8,-4.479,1,0.0628,2.86e-05,0,0.102,0.376,167.169,246040,4
2D1hlMwWWXpkc3CZJ5U351,70,0.7,0.758,10,-3.012,0,0.342,0.0444,1.3e-05,0.0401,0.889,78.693,249467,4
5z7mYFfhw6N6f23VwrokJD,70,0.871,0.597,5,-4.932,0,0.0464,0.126,0.000113,0.0638,0.635,125.999,234000,4
0xmjwnQ3FNE6HuWCt2nHdZ,81,0.834,0.699,5,-3.222,1,0.178,0.111,0,0.131,0.809,94.086,272533,4
3agtg0x11wPvLIWkYR39nZ,69,0.451,0.951,1,-3.754,1,0.0645,0.00038,2.39e-06,0.261,0.442,162.065,213933,4
3BmjRmFTESgWZLPSVGp8aG,67,0.535,0.951,3,-3.324,0,0.18,0.00777,0,0.0669,0.723,160.102,175373,4
4PkJ7c9y1CwpuVOiJODnCZ,73,0.455,0.858,11,-5.659,0,0.0391,0.000616,0.000247,0.226,0.597,163.118,207467,4
3EZzghqykkfOB0Z8d0kTSt,68,0.555,0.868,5,-3.798,1,0.0403,0.0664,0.000117,0.116,0.479,136.12,260360,4
6bUNEbXT7HovLW6BgPCBsb,72,0.751,0.708,0,-5.653,1,0.0545,0.0482,1.85e-05,0.107,0.509,108.97,369573,4
1MTQHCpraD4S8g5PAFKzoj,77,0.595,0.489,7,-6.66,1,0.0271,0.497,0,0.119,0.0902,120.315,269973,4
2lXJr5BkUPZpQUV2ZGN1Wv,66,0.832,0.699,5,-6.322,0,0.209,0.202,0,0.131,0.853,96.652,245867,4
0crJsMs5FmnMHvQG1itkc0,74,0.821,0.807,0,-4.52,1,0.0457,0.129,0,0.0653,0.977,149.343,140520,3
0hDQV9X1Da5JrwhK8gu86p,70,0.502,0.941,7,-5.194,1,0.0716,0.000346,0.319,0.553,0.124,119.783,219987,4
420JGkyLfLUZcgBHKiIK9v,67,0.446,0.657,7,-4.494,1,0.0262,0.0022,0,0.189,0.215,152.132,250093,3
0l3GEbH3CviUytD6iX4wzg,69,0.866,0.749,2,-3.977,1,0.253,0.15,0,0.0614,0.891,92.074,250747,4
6rUp7v3l8yC4TKxAAR5Bmx,72,0.498,0.83,6,-5.157,0,0.0421,0.00461,0,0.139,0.453,89.342,231480,4
3UygY7qW2cvG9Llkay6i1i,75,0.37,0.858,11,-4.885,0,0.0545,0.00815,2.12e-05,0.229,0.464,175.077,214947,4
6pWzCKTrKrwbUPzY8RLCoP,70,0.71,0.797,4,-3.006,0,0.0582,0.408,0,0.16,0.849,94.998,209120,4
5qHYXcVvc9xsFB2uH7GpMN,71,0.682,0.635,0,-10.05,1,0.0346,0.00863,0,0.137,0.927,115.584,217693,4
6FOpPA0a80RuBqqgDozvja,68,0.407,0.896,6,-2.935,1,0.063,0.012,0,0.196,0.156,138.697,243573,3
3arKRnq9OUd7yq6LRwVW8I,70,0.663,0.546,5,-5.234,1,0.0269,0.0322,0.000572,0.107,0.656,88.171,289533,4
