id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
5TRPicyLGbAF2LGBFbHGvO,87,0.639,0.628,6,-7.578,0,0.0399,0.0381,0,0.386,0.43,90.482,237507,4
58ge6dfP91o9oXMzq3XkIS,81,0.52,0.852,0,-5.866,1,0.0543,0.00237,5.79e-05,0.0733,0.234,140.267,253587,4
7rbECVPkY5UODxoOUVKZnA,86,0.542,0.466,0,-8.665,1,0.0831,0.141,0.000445,0.125,0.124,191.385,243440,4
6SpLc7EXZIPpy0sVko0aoU,76,0.517,0.906,1,-3.677,1,0.0735,0.00272,9.26e-06,0.113,0.731,172.977,211520,4
4iz9lGMjU1lXS51oPmUmTe,82,0.667,0.747,1,-7.059,1,0.189,0.337,0,0.115,0.918,86.917,203493,4
0j2T0R9dR9qdJYsB7ciXhf,83,0.617,0.717,10,-7.858,0,0.153,0.00564,0,0.408,0.49,103.992,311867,4
0mEdbdeRFQwBhN4xfyIeUM,81,0.596,0.62,5,-6.133,0,0.039,0.0122,0,0.82,0.102,80.029,271600,4
2bLqfJjuC5syrsgDsZfGmn,83,0.731,0.807,3,-6.492,0,0.1,0.181,0.751,0.319,0.765,114.759,179120,4
3Zwu2K0Qa5sT6teCCHPShP,80,0.459,0.891,10,-5.057,0,0.0623,0.00511,0,0.106,0.588,154.837,203507,4
28IEbk5a7twNTbUEvWslUb,76,0.644,0.939,11,-3.486,0,0.0456,0.157,0,0.233,0.861,106.031,208107,4
1tkMs9wDPknQ3ZHcKDw1ES,77,0.693,0.549,1,-8.141,1,0.119,0.0109,0,0.0677,0.605,80.028,227960,4
4eAwB5pnKFTmsgc3zWoYO0,76,0.611,0.95,8,-3.509,1,0.0518,0.00141,1.59e-06,0.0543,0.607,132.078,193893,4
2yPoXCs7BSIUrucMdK5PzV,73,0.583,0.829,1,-4.603,1,0.134,0.00864,0,0.0426,0.575,174.028,275987,4
3FtYbEfBqAlGO46NUDQSAt,78,0.763,0.803,1,-3.713,1,0.0351,0.0709,0.285,0.348,0.561,103.04,229640,3
0JJP0IS4w0fJx01EcrfkDe,77,0.459,0.895,2,-3.126,1,0.0805,0.00725,0,0.206,0.572,181.04,182827,4
4ZPdLEztrlZqbJkgHNw54L,77,0.439,0.808,1,-6.881,1,0.346,0.00305,0,0.439,0.487,82.962,207000,4
1ixbwbeBi5ufN4noUKmW5a,78,0.447,0.848,2,-6.175,1,0.222,0.033,7.46e-05,0.65,0.485,172.253,205200,4
1hGy2eLcmC8eKx7qr1tOqx,79,0.762,0.661,1,-6.075,0,0.0687,0.15,0,0.256,0.769,130.009,225373,4
7e8utCy2JlSB8dRHKi49xM,72,0.646,0.813,6,-5.29,0,0.0288,0.00178,2.26e-05,0.144,0.821,112.115,173493,4
0UFDKFqW2oGspYeYqo9wjA,79,0.529,0.967,1,-3.647,0,0.0508,0.114,0,0.61,0.596,140.127,166373,4
18lR4BzEs7e3qzc0KVkTpU,81,0.623,0.93,5,-5.285,1,0.0324,0.0141,1.64e-06,0.138,0.287,120.119,205613,4
5Y77SQxEr1eiofPeUTPHxM,74,0.412,0.876,5,-6.008,0,0.47,0.102,0,0.297,0.703,130.159,273133,5
66TRwr5uJwPt15mfFkzhbi,77,0.736,0.74,0,-2.18,1,0.0786,0.515,0,0.0468,0.803,140.141,221933,4
7x8dCjCr0x6x2lXKujYD34,80,0.433,0.959,9,-4.04,1,0.0431,0.000917,0,0.028,0.365,172.984,269373,4
6ic8OlLUNEATToEFU3xmaH,81,0.788,0.844,2,-3.131,1,0.0334,0.25,0.000678,0.0723,0.382,113.324,251240,4
1RGIjMFMgJxkZHMDXVYzOJ,74,0.832,0.391,8,-8.504,1,0.0628,0.0564,0,0.224,0.436,104.961,238800,4
1jJci4qxiYcOHhQR247rEU,78,0.451,0.931,9,-3.871,1,0.0719,0.00076,0.0049,0.361,0.172,122.961,302840,4
1Jo0Zg7XlrA6z0mFTZVdkn,70,0.835,0.669,6,-5.582,0,0.0643,0.0336,6.92e-05,0.0535,0.542,122.668,267080,4
0NrtwAmRAdLxua31SzHvXr,75,0.631,0.623,8,-6.969,1,0.265,0.463,1.7e-06,0.151,0.765,80.23,227893,4
5rX6C5QVvvZB7XckETNych,74,0.7,0.864,7,-3.629,1,0.0283,0.0212,0,0.0956,0.887,102.997,297587,4
1NrJYpdAi7uosDRPmSYrsG,71,0.593,0.74,8,-6.12,1,0.0339,0.363,2.22e-05,0.102,0.502,118.008,208107,4
4UQMOPSUVJVicIQzjAcRRZ,74,0.693,0.504,6,-8.306,1,0.238,0.00299,0,0.695,0.723,102.139,167600,4
6kopmMZiyLmw7h66uXcXR7,78,0.699,0.83,1,-4.898,1,0.0633,0.00243,0.00024,0.0995,0.889,105.809,219413,4
1JdKrFyoU05abww0Zv0ayQ,68,0.528,0.831,8,-3.607,1,0.0429,9.43e-05,0,0.141,0.632,131.094,220480,3
6MXXY2eiWkpDCezVCc0cMH,74,0.48,0.631,7,-5.488,1,0.116,0.0791,0.000105,0.149,0.515,84.164,195093,4
266Vb7ItE3o1q8HdJ9QOvn,76,0.827,0.58,7,-6.809,1,0.327,0.309,0,0.148,0.492,78.011,168320,4
7wZUrN8oemZfsEd1CGkbXE,77,0.638,0.656,5,-5.886,1,0.0357,0.188,0,0.146,0.225,104.036,262467,4
1uigwk5hNV84zRd5YQQRTk,72,0.721,0.88,9,-3.896,0,0.0454,0.191,0,0.0769,0.655,110.021,202907,4
0rFOs9paloAvEtzwDX1Kmc,69,0.697,0.474,9,-6.663,1,0.0351,0.603,0,0.11,0.249,127.904,196280,4
4E6cwWJWZw2zWf7VFbH7wf,74,0.583,0.786,2,-3.142,0,0.0301,0.0208,0,0.188,0.573,123.055,258827,4
45hOioMDJktr86iKDHC8gr,76,0.56,0.959,7,-2.433,1,0.102,0.000722,0.000221,0.209,0.669,163.983,216600,4
0YJ9FWWHn9EfnN0lHwbzvV,75,0.462,0.832,11,-6.085,0,0.0479,0.108,0.00416,0.0741,0.807,165.653,248893,4
6CFPFnS9EcLs2I0nWqtWci,76,0.81,0.538,0,-5.784,0,0.0356,0.528,0,0.0951,0.828,109.97,266840,4
0wVluBsVAVzBKrqspuCcwR,69,0.352,0.912,7,-4.253,1,0.0725,0.00197,0,0.193,0.351,166.795,220147,4
4wajJ1o7jWIg62YqpkHC7S,73,0.531,0.61,11,-8.025,0,0.0387,0.772,0.756,0.0908,0.199,152.958,318187,4
2RqZFOLOnzVmHUX7ZMcaES,67,0.806,0.721,10,-5.167,0,0.215,0.197,0,0.209,0.781,94.967,238333,4
4iG2gAwKXsOcijVaVXzRPW,73,0.438,0.94,2,-3.249,1,0.0452,8.74e-05,0.0777,0.3,0.421,100.99,261000,3
