id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
1PS1QMdUqOal0ai3Gt7sDQ,81,0.629,0.696,1,-5.572,0,0.348,0.0195,0,0.0554,0.623,93.034,207627,4
0ZUo4YjG4saFnEJhdWp9Bt,80,0.519,0.749,6,-3.318,0,0.0405,0.271,0,0.119,0.29,147.905,199947,4
0d28khcov6AiegSCpG5TuT,84,0.818,0.705,6,-6.679,1,0.177,0.00836,0.00233,0.613,0.772,138.559,222640,4
0W4NhJhcqKCqEP2GIpDCDq,83,0.688,0.519,5,-4.285,1,0.0283,0.064,0,0.1,0.318,116.714,255333,4
2TfSHkHiFO4gRztVIkggkE,79,0.494,0.842,7,-4.784,1,0.0843,0.00579,0,0.122,0.574,162.011,229093,4
3ZFTkvIE7kyPt6Nu3PEa7V,86,0.778,0.824,10,-5.892,0,0.0707,0.284,0,0.405,0.758,100.024,218093,4
5Z01UMMf7V1o0MzF86s6WJ,78,0.692,0.744,2,-4.565,1,0.257,0.00868,0.000423,0.359,0.0612,171.374,326467,4
4bPQs0PHn4xbipzdPfn6du,74,0.569,0.83,9,-4.106,0,0.14,0.0807,0,0.114,0.609,170.094,186635,4
0a7BloCiNzLDD9qSQHh5m7,78,0.622,0.961,11,-3.198,0,0.154,0.00523,0,0.0854,0.449,114.452,180267,4
7GQjJEwqlp6m5HNWVQd6OR,74,0.716,0.72,5,-2.183,1,0.0319,0.307,0,0.135,0.464,122.512,215853,4
3o7TMr6RmIusYH7Kkg7ujR,77,0.687,0.677,2,-4.172,1,0.0508,0.000643,0.000137,0.0564,0.545,75.052,199773,4
0k2GOhqsrxDTAbFFSdNJjT,82,0.951,0.6,0,-4.675,0,0.0685,0.106,0,0.0712,0.822,125.04,218573,4
0lP4HYLmvowOKdsQ7CVkuq,78,0.179,0.912,4,-3.881,0,0.0791,0.0014,0.000294,0.582,0.289,182.99,231533,3
