id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
2gam98EZKrF9XuOkU13ApN,85,0.808,0.97,10,-6.098,0,0.0506,0.0569,6.13e-05,0.154,0.868,114.328,242293,4
15DeqWWQB4dcEWzJg15VrN,76,0.668,0.672,2,-4.931,1,0.0303,0.111,0,0.329,0.539,89.011,201107,4
7j31rVgGX9Q2blT92VBEA0,81,0.463,0.857,4,-3.063,1,0.0632,0.0506,0,0.184,0.856,111.647,161920,4
4wH4dJgrsxONID6KS2tDQM,82,0.796,0.777,6,-4.81,1,0.0397,0.0261,0.000358,0.121,0.787,132.722,258893,4
7k6IzwMGpxnRghE7YosnXT,79,0.803,0.454,8,-4.802,0,0.0294,0.352,0,0.0655,0.739,99.99,192213,4
4wzjNqjKAKDU82e8uMhzmr,77,0.545,0.932,7,-2.189,0,0.0399,0.000665,0,0.127,0.464,92.956,192000,4
2kQuhkFX7uSVepCD3h29g5,84,0.939,0.742,5,-5.171,0,0.0467,0.321,0,0.107,0.924,118.978,212360,4
70L6nHORQsblY813yNqUR3,76,0.47,0.859,2,-3.663,1,0.0537,0.000362,0.00691,0.142,0.17,124.01,317707,4
66ZcOcouenzZEnzTJvoFmH,74,0.756,0.77,1,-3.502,1,0.0343,0.191,0,0.178,0.73,119.961,246467,4
2nGFzvICaeEWjIrBrL2RAx,80,0.739,0.511,9,-7.844,1,0.0362,0.167,1.34e-06,0.133,0.542,96.038,215360,4
5hnyJvgoWiQUYZttV4wXy6,82,0.56,0.595,9,-4.53,1,0.0274,0.199,6.47e-05,0.132,0.144,104.011,267960,4
56sk7jBpZV0CD31G9hEU3b,75,0.553,0.853,8,-3.668,1,0.0339,0.000684,0,0.126,0.506,122.023,231400,4
70wYA8oYHoMzhRRkARoMhU,78,0.467,0.988,11,-3.313,1,0.112,0.000152,0.0484,0.28,0.321,130.433,220427,4
4KTtYhxFtFL7mBwnjkKfLm,72,0.81,0.755,0,-6.408,1,0.199,0.291,0,0.0857,0.625,130.991,246573,4
0faXHILILebCGnJBPU6KJJ,75,0.392,0.964,10,-4.441,0,0.0644,7.13e-05,0.0387,0.106,0.269,167.024,200547,4
2N5zMZX7YeL1tico8oQxa9,74,0.835,0.741,8,-1.609,1,0.0339,0.0172,0.0577,0.0826,0.612,111.963,182066,4
5wQnmLuC1W7ATsArWACrgW,78,0.217,0.905,2,-4.103,1,0.0752,0.000289,0.00011,0.222,0.236,96.95,311107,4
32mVHdy0bi1XKgr0ajsBlG,71,0.658,0.877,7,-2.098,1,0.0323,0.173,0,0.0962,0.821,105.586,173067,4
0O45fw2L5vsWpdsOdXwNAR,80,0.967,0.583,7,-5.562,0,0.0789,0.0584,0,0.0519,0.964,117.0,242733,4
10Nmj3JCNoMeBQ87uw5j8k,78,0.556,0.913,0,-2.36,1,0.0437,0.0193,8.59e-06,0.346,0.73,96.184,282160,4
6brl7bwOHmGFkNw3MBqssT,80,0.452,0.574,6,-8.336,1,0.31,0.246,0,0.189,0.58,92.791,207187,4
2aI21FnmY7TJVKeMaoQZ0t,82,0.872,0.872,1,-6.328,1,0.139,0.0476,0.00112,0.0543,0.809,116.948,223080,4
30cSNer6TV8x2utjULVeQ5,77,0.677,0.671,7,-4.905,1,0.0361,0.004,5.07e-05,0.413,0.527,137.046,238920,4
0Ti2dlF2xLjXblvdU5fCxM,73,0.308,0.873,8,-4.542,1,0.0533,0.00022,0.000729,0.0974,0.686,143.519,206587,4
1D066zixBwqFYqBhKgdPzp,70,0.906,0.583,8,-7.721,0,0.317,0.0569,0,0.126,0.829,129.056,292373,4
2aibwv5hGXSgw7Yru8IYTO,80,0.427,0.9,11,-3.674,1,0.0499,0.116,1.75e-05,0.119,0.599,104.655,334667,4
3lPr8ghNDBLc2uZovNyLs9,79,0.668,0.921,7,-3.727,1,0.0439,0.0492,0.00517,0.0877,0.782,120.0,212440,4
4NeOWqHmlrGRuBvsLJC9rL,76,0.771,0.68,11,-5.881,0,0.224,0.277,1.18e-05,0.682,0.808,119.952,276160,4
5imShWWzwqfAJ9gXFpGAQh,75,0.578,0.756,2,-5.82,1,0.115,0.157,0.000232,0.249,0.663,176.739,201173,4
1zN6ynJG4PdR61YWv4PQ3Y,69,0.473,0.871,9,-4.893,1,0.0456,0.0216,0,0.0525,0.47,146.975,198507,4
3FP8A246XpuafFofRhDlWG,69,0.429,0.96,10,-4.261,1,0.0914,6.46e-05,6.27e-06,0.102,0.233,153.932,175880,4
5gB2IrxOCX2j9bMnHKP38i,76,0.562,0.934,5,-5.562,1,0.0607,0.00211,0,0.199,0.558,103.042,275640,4
1Q2fYlSdwuutWj3QplhY9q,71,0.185,0.948,8,-3.892,1,0.147,0.0104,0,0.105,0.316,196.578,207587,3
6fTgbkBiMITtHUmik95ClX,70,0.552,0.836,6,-5.608,1,0.0453,0.00942,0,0.372,0.432,140.496,208280,4
1KhrAWvLIjRlQIJtSTgvsi,71,0.605,0.864,6,-5.365,1,0.0292,0.13,0.000827,0.113,0.736,122.918,228187,4
2Fs18NaCDuluPG1DHGw1XG,75,0.582,0.952,5,-3.848,1,0.0731,0.00324,0,0.223,0.655,103.027,276320,4
4bVuIlGQBMWS7vIhcx8Ae4,70,0.537,0.674,5,-5.134,0,0.0277,0.0088,0,0.265,0.33,136.002,214107,4
4iuNZTcvT9diFySSzVsnVS,72,0.569,0.596,8,-6.486,1,0.172,0.452,7.92e-05,0.205,0.754,93.135,217347,4
3HE50TVRquwXe9yv2HFoNL,70,0.433,0.778,2,-4.68,0,0.0371,0.00838,0,0.163,0.217,149.864,209333,4
4dyx5SzxPPaD8xQIid5Wjj,77,0.699,0.812,0,-6.005,1,0.0377,0.0164,0.000763,0.105,0.662,138.185,276693,4
4OSbctVD37ycS0H3rwRm72,69,0.2,0.977,3,-3.494,0,0.159,0.00165,1.1e-05,0.259,0.39,195.711,199387,4
7zMcNqs55Mxer82bvZFkpg,68,0.621,0.417,10,-6.941,1,0.0231,0.288,0,0.119,0.289,99.953,203040,4
0aJrYfARfCKzv6gXjhs4SZ,75,0.792,0.647,4,-8.314,1,0.045,0.255,0.000223,0.132,0.694,102.477,209547,4
16MVSD0mGI4RMQT83Qzm69,68,0.476,0.777,4,-3.771,0,0.0289,0.0103,0,0.196,0.472,167.964,242200,4
