id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
4EWCNWgDS8707fNSZ1oaA5,87,0.79,0.647,10,-5.983,0,0.136,0.0515,0,0.248,0.654,87.999,211000,4
1mea3bSkSGXuIRvnydlB5b,87,0.486,0.617,5,-7.115,0,0.0287,0.0954,3.23e-06,0.109,0.417,138.015,242373,4
0LQtEJt7x0s6knb6RKdRYc,80,0.566,0.713,6,-4.25,1,0.0418,0.645,0,0.114,0.805,169.861,238147,4
6TfBA04WJ3X1d1wXhaCFVT,83,0.55,0.917,0,-3.159,1,0.0638,0.00428,0,0.197,0.601,126.115,177827,4
5R8dQOPq8haW94K7mgERlO,78,0.851,0.806,4,-4.62,1,0.0787,0.118,1.64e-06,0.121,0.787,118.999,237200,4
0ntQJM78wzOLVeCUAW7Y45,83,0.542,0.905,9,-5.653,1,0.054,0.00172,0.0104,0.136,0.374,153.398,203347,4
5r5cp9IpziiIsR6b93vcnQ,81,0.871,0.701,5,-5.594,0,0.0458,0.257,7.52e-06,0.0589,0.716,126.975,198440,4
2q4rjDy9WhaN3o9MvDbO21,79,0.758,0.712,7,-3.781,1,0.112,0.0185,0,0.0677,0.795,149.998,193387,4
2x7MyWybabEz6Y6wvHuwGE,76,0.822,0.739,1,-4.541,0,0.0311,0.0264,4.26e-05,0.181,0.745,118.992,241933,4
0CAfXk7DXMnon4gLudAp7J,82,0.918,0.609,10,-5.64,0,0.0791,0.0928,0,0.139,0.304,128.008,231400,4
1EryAkZ0VHstC6haIxVBiE,77,0.367,0.634,5,-6.475,1,0.027,0.000824,0.0759,0.116,0.0964,89.981,241533,4
1EzrEOXmMH3G43AXT1y7pA,81,0.703,0.444,11,-9.331,1,0.0417,0.559,0,0.0973,0.712,150.96,242947,4
3dmqIB2Qxe2XZobw9gXxJ6,74,0.464,0.655,7,-9.058,0,0.0608,0.0272,1.34e-06,0.328,0.531,169.515,273600,4
2VOomzT6VavJOGBeySqaMc,79,0.707,0.813,11,-4.515,0,0.0571,0.0863,0,0.168,0.722,124.921,238627,4
1vcxF91pWs9uNwDROuiCPB,78,0.554,0.932,5,-3.424,0,0.0485,0.00154,0.000142,0.425,0.478,112.49,242280,4
4S518ci8UY4op0Xyp6Hx6o,74,0.801,0.759,11,-5.398,1,0.0378,0.657,0,0.0897,0.821,129.971,262773,4
6ihL9TjfRjadfEePzXXyVF,72,0.718,0.691,4,-6.44,1,0.0387,0.0159,0,0.0627,0.552,100.008,213107,4
5ChkMS8OtdzJeqyybCc9R5,82,0.92,0.654,11,-3.051,0,0.0401,0.0236,0.0153,0.036,0.847,117.046,293827,4
1IAzD1muglOxOcPbUHs70R,75,0.68,0.687,9,-6.162,0,0.0709,0.0161,0,0.261,0.467,150.053,249533,4
1y4eb6hmAvsqlDOl3fx9kk,72,0.706,0.841,7,-3.956,1,0.0418,7.95e-05,0,0.0688,0.861,132.032,220227,4
7Hqig8kp32q2Ire3ECQvWM,73,0.762,0.692,5,-3.973,0,0.0438,0.113,0,0.094,0.397,114.906,208307,4
49FYlytm3dAAraYgpoJZux,85,0.583,0.829,1,-4.603,1,0.134,0.00864,0,0.0426,0.575,174.028,275987,4
34ceTg8ChN5HjrqiIYCn9Q,78,0.673,0.683,1,-5.693,1,0.115,0.522,0,0.235,0.713,171.86,232000,4
3GCL1PydwsLodcpv0Ll1ch,71,0.687,0.783,6,-4.44,1,0.0386,0.162,1.35e-05,0.114,0.443,129.964,231133,4
1jq28NGw6wdtFKx8MBPy6C,75,0.617,0.922,11,-3.474,1,0.0744,0.000247,0.388,0.363,0.6,132.059,212347,4
5VGlqQANWDKJFl0MBG3sg2,78,0.276,0.715,0,-5.356,1,0.0432,0.00552,0.000417,0.201,0.173,137.028,230760,4
3AydAydLzyyZutA0375XIz,70,0.551,0.819,2,-4.489,1,0.0525,0.0103,0.0437,0.153,0.846,174.917,137760,4
3NZJlJemX3mzjf56MqC5ML,78,0.672,0.82,11,-4.456,1,0.0459,0.0368,0.000188,0.184,0.438,120.005,278573,4
5FgPwJ7Nh2FVmIXviKl2VF,74,0.317,0.172,10,-10.636,1,0.0326,0.907,0.000383,0.105,0.0963,65.18,212040,3
0JiY190vktuhSGN6aqJdrt,78,0.534,0.87,11,-3.078,0,0.0425,0.000334,0,0.241,0.462,126.019,215160,4
6etwirSInfuJrSOlogS6Sh,78,0.693,0.729,0,-2.99,1,0.378,0.171,0,0.07,0.521,117.848,284733,4
005lwxGU1tms6HGELIcUv9,70,0.699,0.76,5,-3.173,1,0.0677,0.00223,0,0.132,0.696,129.996,179640,4
