id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
7lQ8MOhq6IN2w8EYcFNSUk,88,0.908,0.669,7,-2.827,1,0.0738,0.00286,0,0.237,0.662,112.238,290320,4
4xkOaSrkexMciUUogZKVTS,85,0.548,0.847,1,-3.237,1,0.186,0.0622,0,0.0816,0.1,171.447,297787,4
1AWQoqb9bSvzTjaLralEkT,81,0.892,0.714,4,-6.055,0,0.141,0.201,0.000234,0.0521,0.817,100.972,267267,4
3ZOEytgrvLwQaqXreDs2Jx,83,0.618,0.938,9,-3.442,1,0.0456,0.0179,0,0.167,0.875,91.455,269000,4
4woTEX1wYOTGDqNXuavlRC,86,0.802,0.755,4,-3.138,0,0.0564,0.0215,0,0.295,0.58,130.027,350320,4
04KTF78FFg8sOHC1BADqbY,78,0.956,0.745,11,-4.753,0,0.12,0.206,0,0.0615,0.912,107.075,228240,4
0r2Bul2NuCViraT2zX1l5j,76,0.521,0.625,1,-7.47,1,0.067,0.0301,0,0.121,0.136,101.019,334067,4
75JFxkI2RXiU7L9VXzMkle,85,0.557,0.442,5,-7.224,1,0.0243,0.731,1.46e-05,0.11,0.213,146.277,309600,4
6ECp64rv50XVz93WvxXMGF,82,0.712,0.862,5,-4.612,0,0.0378,0.0525,0,0.093,0.809,95.051,206200,4
1AEYT6VxrxXPMoQUxsY0E4,74,0.492,0.896,4,-5.819,0,0.117,0.000172,2.78e-06,0.189,0.534,184.981,285570,4
6zMUIb4uce1CzpbjR3vMdN,75,0.665,0.695,0,-5.763,1,0.0532,0.347,0,0.106,0.707,90.119,227387,4
1gyee1JuFFiP476LQpRMYU,72,0.509,0.843,1,-3.318,0,0.0488,0.000671,0.000803,0.348,0.332,140.055,238400,3
5xEM5hIgJ1jjgcEBfpkt2F,80,0.585,0.776,5,-5.898,1,0.0459,0.0572,7.74e-06,0.3,0.427,77.987,244507,4
0BRHnOFm6sjxN1i9LJrUDu,75,0.494,0.939,1,-3.127,1,0.126,0.00666,0,0.139,0.893,177.751,175093,4
00Mb3DuaIH1kjrwOku9CGU,77,0.487,0.9,0,-4.417,1,0.0482,6.79e-05,0,0.358,0.484,149.937,204000,4
0ARK753YaiJbpLUk7z5yIM,79,0.727,0.552,2,-8.074,0,0.14,0.227,0.000164,0.198,0.607,168.189,289160,4
0BCPKOYdS2jbQ8iyB56Zns,83,0.577,0.749,5,-7.215,0,0.0279,0.599,0.0115,0.183,0.255,130.97,307880,4
3YuaBvuZqcwN3CEAyyoaei,79,0.614,0.568,7,-5.477,0,0.0276,0.00797,0,0.0997,0.516,107.849,293960,4
4llK75pXNWZz6KAho2Gp16,81,0.651,0.663,0,-5.569,0,0.0281,0.228,0,0.0994,0.465,102.0,259453,4
1h2xVEoJORqrg71HocgqXd,76,0.633,0.634,8,-12.115,1,0.0725,0.038,0.0064,0.0385,0.872,100.499,245493,4
0M7mWKqwTIaVjYyxfZmtTa,70,0.424,0.661,2,-5.547,1,0.0425,0.521,1.62e-06,0.0719,0.384,111.762,195533,4
3NLrRZoMF0Lx6zTlYqeIo4,77,0.557,0.533,10,-6.817,0,0.0252,0.0492,0,0.205,0.233,143.994,238733,4
